FS_Method,K,Classifier,accuracy,precision,recall,f1,pr_auc,fpr,fnr,train_time_s,inference_ms
ChiSquare,16,LGBM,0.9543 ± 0.0021,0.6908 ± 0.0019,0.6417 ± 0.0002,0.6392 ± 0.0017,0.6376 ± 0.0001,0.0075 ± 0.0002,0.3583 ± 0.0002,1.2407 ± 0.0371,0.0019 ± 0.0001
ChiSquare,16,KNN,0.5204 ± 0.0128,0.5844 ± 0.0112,0.4651 ± 0.0020,0.4114 ± 0.0025,0.4206 ± 0.0006,0.0498 ± 0.0013,0.5349 ± 0.0020,0.0062 ± 0.0006,0.0599 ± 0.0004
ChiSquare,16,MLP,0.9762 ± 0.0003,0.7160 ± 0.0480,0.6315 ± 0.0137,0.6521 ± 0.0210,0.6323 ± 0.0005,0.0058 ± 0.0001,0.3685 ± 0.0137,20.7897 ± 8.6733,0.0009 ± 0.0004
XGB_Importance,4,DT,0.9394 ± 0.0017,0.4569 ± 0.0024,0.4392 ± 0.0002,0.3657 ± 0.0018,0.4254 ± 0.0027,0.0063 ± 0.0002,0.5608 ± 0.0002,0.0361 ± 0.0014,0.0001 ± 0.0000
XGB_Importance,4,RF,0.9428 ± 0.0028,0.4642 ± 0.0040,0.4397 ± 0.0003,0.3696 ± 0.0032,0.4511 ± 0.0000,0.0060 ± 0.0003,0.5603 ± 0.0003,1.0956 ± 0.0080,0.0027 ± 0.0000
XGB_Importance,4,XGB,0.9416 ± 0.0022,0.4677 ± 0.0104,0.4396 ± 0.0002,0.3682 ± 0.0024,0.4512 ± 0.0001,0.0061 ± 0.0002,0.5604 ± 0.0002,1.4211 ± 0.0970,0.0009 ± 0.0000
XGB_Importance,4,LGBM,0.9419 ± 0.0012,0.4624 ± 0.0021,0.4396 ± 0.0001,0.3686 ± 0.0013,0.4512 ± 0.0001,0.0061 ± 0.0001,0.5604 ± 0.0001,0.8815 ± 0.0079,0.0017 ± 0.0000
XGB_Importance,4,KNN,0.6974 ± 0.0001,0.3335 ± 0.0022,0.2985 ± 0.0001,0.1651 ± 0.0001,0.1744 ± 0.0001,0.0308 ± 0.0000,0.7015 ± 0.0001,0.0750 ± 0.0010,0.2198 ± 0.0430
XGB_Importance,4,MLP,0.6211 ± 0.0001,0.3700 ± 0.0002,0.3806 ± 0.0002,0.3164 ± 0.0001,0.4406 ± 0.0023,0.0385 ± 0.0000,0.6194 ± 0.0002,28.0380 ± 9.1551,0.0014 ± 0.0004
XGB_Importance,8,DT,0.9708 ± 0.0017,0.6305 ± 0.0025,0.6699 ± 0.0001,0.6405 ± 0.0017,0.6627 ± 0.0025,0.0031 ± 0.0002,0.3301 ± 0.0001,0.0590 ± 0.0040,0.0001 ± 0.0000
XGB_Importance,8,RF,0.9800 ± 0.0047,0.6494 ± 0.0095,0.6708 ± 0.0005,0.6519 ± 0.0058,0.6887 ± 0.0002,0.0021 ± 0.0005,0.3292 ± 0.0005,1.2133 ± 0.0188,0.0028 ± 0.0000
XGB_Importance,8,XGB,0.8221 ± 0.0716,0.5467 ± 0.0290,0.6099 ± 0.0283,0.5101 ± 0.0470,0.6582 ± 0.0060,0.0180 ± 0.0072,0.3901 ± 0.0283,1.7673 ± 0.0789,0.0011 ± 0.0000
XGB_Importance,8,LGBM,0.4489 ± 0.4860,0.3414 ± 0.2862,0.3386 ± 0.3037,0.2855 ± 0.3291,0.3454 ± 0.3135,0.0606 ± 0.0530,0.6614 ± 0.3037,1.1195 ± 0.0816,0.0017 ± 0.0007
XGB_Importance,8,KNN,0.9498 ± 0.0001,0.5140 ± 0.0049,0.4978 ± 0.0007,0.4528 ± 0.0011,0.4295 ± 0.0006,0.0053 ± 0.0000,0.5022 ± 0.0007,0.1421 ± 0.0033,0.0965 ± 0.0120
XGB_Importance,8,MLP,0.9765 ± 0.0002,0.5446 ± 0.0111,0.5852 ± 0.0006,0.5583 ± 0.0067,0.6802 ± 0.0017,0.0035 ± 0.0000,0.4148 ± 0.0006,23.9440 ± 6.2448,0.0007 ± 0.0003
